date,userName,title,rating,isEdited,review,crawled_at,url,app_id,country,app_name,_id,developerResponse
16-10-2013 14:26,Gugnac,Praktisch und sehr gut...,5,False,"Ich hab whatsapp schon länger und es hat immer perfekt funktioniert aber seit dem letztem Update kann ich keine sprachmemos mehr machen und meine Videos die ich mache haben keinen Ton. Sonst ist diese App wirklich einer der sinnvollsten und praktischsten. Ich muss sagen hut ab, aber ich hoffe die Probleme werden vielleicht demnächst gefixt :-) 👍",21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,732fc06b-e34b-5357-af0d-5372847ca5b3,
04-06-2011 08:19,Shacko_11,It's a beast,5,False,It's a beast,20-02-2021 23:53,https://apps.apple.com/au/app/talking-tom-cat-2/id421997825,421997825,au,talking-tom-cat-2,4619629b-b4bd-5996-862f-6a97c5353857,
04-08-2016 07:11,Bobcat0507,Great app!! I have a wish :)),4,False,I think it would be a good idea to be able to write hidden messages (for example with a password) or messages with a button to show up. Sometimes you want to share a secret and want to make sure nobody sees it but the recipient 😉,21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,1a06063d-8640-5766-95bd-e6310198c05e,
27-10-2015 19:56,Aleks6578,Alle Chats weg,1,False,Alle Chats wurden einfach so gelöscht und wenn man keine backups macht wegen speichermangel kann man den ein oder anderen wichtigen Chat verlieren. Danke whatsapp 🤗,21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,42f099b7-d187-5b5a-af1c-e9802adf1902,
13-08-2013 01:09,Haniice22,..,5,False,eigentlich ganz supper nur spinnt manchmal total,21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,e86b8df4-bb44-5a95-842e-08a09e2211a2,
19-02-2013 21:29,Cihan Kaplan,Super app,5,False,Einfach superr,21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,fe17dd7b-8b96-5d93-a32a-89f5d69f6b26,
20-07-2012 15:36,Jo hhuu,Vicky,4,False,Eigentlich eh ganz cool nur blöd dass man sich keine weiteren hinweistöne runterladen kann :/,21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,f62c6c25-f69e-5e87-a2d6-86e203a3ec1b,
04-11-2019 21:31,Facebook Farbpalette,Emojis,1,False,Bitte die emojis größer machen die sind soo winzig das man es nicht einmal erkennen kann was es ist und dark mode,21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,0e3e6f27-8069-57db-9f0f-f46881bc5e88,
29-11-2012 00:44,Joniblk,Talking Tom,1,False,It took me a long time to get the Real Madrid uniform now it has disappeared along with other items that I bought. You want me to keep on spending money yeah!!!,20-02-2021 23:53,https://apps.apple.com/au/app/talking-tom-cat-2/id421997825,421997825,au,talking-tom-cat-2,63b2ab61-8a93-5036-8234-175ed9b17059,
29-11-2011 13:46,Siinamiinapiina,SUPER!,5,False,"Einfach TOLL! Ein muss für jeden, spart so viel geld und macht keine probleme!",21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,83aa47e1-fd79-5678-b4da-d0f24eee0782,
09-09-2013 17:16,Filipgfijg,Scheise,1,False,"Es stürzt ganze Zeit ab , ich zuck langsam aus !",21-02-2021 10:15,https://apps.apple.com/at/app/whatsapp-messenger/id310633997,310633997,at,whatsapp-messenger,210939c0-995b-548f-a87e-2a140f362bff,
